SSTID CF Level size Creation Deletion key_start key_end
386 0 1 6686 1681270811 1681270811 29999911 29999911
386 0 2 6686 1681270811 1681270913 29999911 29999911
388 0 0 36720971 1681270811 1681270817 6455 29984600
391 0 0 36726547 1681270811 1681270818 4065 29999514
393 0 0 36732292 1681270811 1681270818 10366 29984636
396 0 0 36726480 1681270811 1681270819 77 29992376
398 0 0 36732292 1681270812 1681270819 3176 29993095
401 0 0 36732182 1681270812 1681270820 10626 29990538
403 0 0 36720740 1681270812 1681270820 592 29990336
405 0 0 36732141 1681270812 1681270820 3652 29997239
408 0 0 36732236 1681270812 1681270821 1597 29998232
390 0 2 67265874 1681270811 1681270910 7303012 7794889
395 0 2 67264305 1681270811 1681270892 7794895 8277403
400 0 2 67265460 1681270812 1681270896 8277427 8752944
406 0 2 58630242 1681270812 1681270956 8752997 9173343
410 0 0 36732262 1681270813 1681270821 4370 29995631
413 0 0 36726353 1681270813 1681270821 1993 29997548
415 0 0 36726590 1681270813 1681270822 2101 29997421
418 0 0 36732237 1681270813 1681270822 111 29998969
420 0 0 36720745 1681270813 1681270823 1772 29998321
423 0 0 36720833 1681270813 1681270823 5699 29988177
425 0 0 36732247 1681270814 1681270824 3155 29999267
428 0 0 36732193 1681270814 1681270824 1997 29999490
430 0 0 36726523 1681270814 1681270825 8823 29998524
433 0 0 36732247 1681270814 1681270826 7595 29999711
411 0 2 67264145 1681270813 1681270891 1455198 1937465
416 0 2 67265524 1681270813 1681270891 1937494 2418550
422 0 2 67265037 1681270813 1681270894 2418570 2897391
427 0 2 67265723 1681270814 1681270894 2897416 3383038
432 0 2 36558555 1681270814 1681270962 3383091 3644104
435 0 0 36720801 1681270814 1681270826 2754 29991522
436 0 2 67266270 1681270814 1681270816 14657223 15816984
437 0 2 67264618 1681270815 1681270896 15817003 16290746
438 0 2 67264963 1681270815 1681270890 16290757 16777986
439 0 2 66113736 1681270815 1681270868 16778041 17396608
440 0 2 67264259 1681270816 1681270889 13906850 14394921
441 0 2 67265621 1681270816 1681270895 14394957 14874358
442 0 2 67264805 1681270816 1681270893 14874373 15357009
443 0 2 63530581 1681270817 1681270893 15357096 15816984
459 0 0 36720874 1681270822 1681270836 8032 29999754
444 0 1 53368854 1681270817 1681270843 77 727171
445 0 1 52235579 1681270817 1681270843 727212 1455100
446 0 1 109761003 1681270818 1681270843 1455607 4371668
447 0 1 54869877 1681270818 1681270843 4371786 5101738
448 0 1 108836662 1681270819 1681270830 5102046 6387648
449 0 1 82200537 1681270819 1681270829 6387778 7302900
450 0 1 78609785 1681270820 1681270844 7303316 9765462
451 0 1 60574008 1681270820 1681270844 9765574 10945269
452 0 1 60316107 1681270820 1681270845 10945768 12137976
453 0 1 61160795 1681270821 1681270846 12138253 13319726
454 0 1 67360243 1681270821 1681270847 13319749 15356951
455 0 1 72836189 1681270821 1681270847 15357275 17396598
456 0 1 60977988 1681270822 1681270848 17396677 18577472
457 0 1 59677174 1681270822 1681270848 18577584 19769050
460 0 1 134523621 1681270823 1681270835 19769421 21160954
461 0 1 134521447 1681270823 1681270833 21161016 22319556
462 0 1 73669569 1681270824 1681270833 22319583 22948873
463 0 1 134522426 1681270824 1681270848 22949054 24105347
464 0 1 134520826 1681270825 1681270848 24105431 25265058
465 0 1 50486393 1681270826 1681270848 25265088 25697666
466 0 1 134520430 1681270826 1681270848 25697865 26989423
467 0 1 89931627 1681270827 1681270848 26989455 27856965
468 0 1 134519862 1681270827 1681270831 27857185 29162718
469 0 1 86305987 1681270828 1681270831 29162728 29999842
471 0 0 36726560 1681270829 1681270837 2058 29999653
473 0 0 36732184 1681270829 1681270837 504 29996021
476 0 0 36732170 1681270829 1681270837 3221 29997828
478 0 0 36732267 1681270829 1681270837 29 29996061
481 0 0 36732166 1681270829 1681270838 84 29985360
483 0 0 36732239 1681270829 1681270838 6038 29998341
474 0 2 67263961 1681270829 1681270919 6387714 6798509
479 0 2 67266426 1681270829 1681270919 6798528 7215163
485 0 2 14039078 1681270830 1681270911 7215192 7302999
486 0 0 36732346 1681270830 1681270839 1901 29992839
489 0 0 36715080 1681270830 1681270839 2120 29986980
491 0 0 36726428 1681270830 1681270839 579 29999784
494 0 0 36732312 1681270830 1681270840 1919 29999710
496 0 0 36732221 1681270830 1681270840 1214 29993025
499 0 0 36726422 1681270831 1681270840 424 29993809
501 0 0 36726477 1681270831 1681270840 2118 29998642
487 0 2 67263432 1681270830 1681270935 5102024 5510008
492 0 2 67265980 1681270830 1681270913 5510066 5920628
498 0 2 67265027 1681270830 1681270912 5920719 6332715
503 0 2 8873463 1681270831 1681270920 6332812 6387699
504 0 0 36732215 1681270831 1681270841 8354 29989756
507 0 0 36726524 1681270831 1681270841 5735 29999335
509 0 0 36732140 1681270831 1681270841 25169 29999394
512 0 0 36709453 1681270831 1681270841 3921 29995576
514 0 0 36726541 1681270832 1681270842 6772 29996148
517 0 0 36732233 1681270832 1681270842 4266 29994990
519 0 0 36726452 1681270832 1681270842 1371 29998252
505 0 2 67263763 1681270831 1681270917 27857176 28271287
510 0 2 67264965 1681270831 1681270914 28271348 28677812
516 0 2 67264945 1681270832 1681270914 28677832 29093847
520 0 2 67264782 1681270832 1681270918 29093898 29499988
521 0 2 67265954 1681270832 1681270911 29500003 29912909
522 0 2 14555168 1681270833 1681270913 29912912 29999865
523 0 2 67266589 1681270833 1681270836 20185584 21282401
524 0 2 67265391 1681270833 1681270915 21282402 21690886
525 0 2 67265999 1681270834 1681270916 21690906 22103620
526 0 2 67265292 1681270834 1681270915 22103638 22511800
527 0 2 67265892 1681270834 1681270869 22511831 22920812
528 0 2 4563536 1681270835 1681270869 22920857 22948931
529 0 2 67264823 1681270835 1681270960 19769349 20182590
530 0 2 67263602 1681270835 1681270935 20182602 20589816
531 0 2 67263843 1681270836 1681270912 20589918 21003916
532 0 2 45507559 1681270836 1681270916 21003966 21282401
547 0 0 36726630 1681270840 1681270855 16898 29995729
533 0 1 72149539 1681270836 1681270849 29 727171
534 0 1 70697688 1681270837 1681270850 727212 1455132
535 0 1 50331077 1681270837 1681270863 1455230 2418544
536 0 1 49008047 1681270837 1681270863 2418577 3382971
537 0 1 85399698 1681270837 1681270863 3383153 4371668
538 0 1 73478649 1681270838 1681270848 4371705 5101738
539 0 1 81516509 1681270838 1681270864 5102156 7794813
540 0 1 49320974 1681270839 1681270864 7794910 8752887
541 0 1 67093569 1681270839 1681270864 8752958 9765462
542 0 1 45236542 1681270839 1681270865 9765574 10355144
543 0 1 45367584 1681270840 1681270865 10355514 10945424
544 0 1 45937516 1681270840 1681270866 10945639 11543821
545 0 1 45293203 1681270840 1681270866 11544082 12137976
548 0 1 44938856 1681270840 1681270866 12138097 12725806
549 0 1 46017614 1681270841 1681270866 12726219 13319726
550 0 1 44893441 1681270841 1681270866 13319749 13906695
551 0 1 50672415 1681270841 1681270866 13907013 14874109
552 0 1 47438530 1681270841 1681270866 14874380 15816831
553 0 1 48847866 1681270842 1681270866 15817198 16777920
554 0 1 52465518 1681270842 1681270866 16778144 17396598
555 0 1 46202777 1681270842 1681270866 17396611 17992584
556 0 1 45102014 1681270843 1681270866 17992711 18577472
557 0 1 45204174 1681270843 1681270866 18577584 19174302
558 0 1 44029313 1681270843 1681270866 19174348 19769050
559 0 1 70543415 1681270843 1681270866 19769239 22511670
560 0 1 134520648 1681270844 1681270866 22511979 23823367
